City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Tazovsky,99,RU,1600183136,84,67.47,78.7,53.76,9.1
Olinda,40,BR,1600183137,69,-8.01,-34.86,82.4,12.75
Port Alfred,100,ZA,1600183137,68,-33.59,26.89,60.01,15.61
Abong Mbang,61,CM,1600183137,80,3.98,13.18,79.45,2.59
Lompoc,90,US,1600182934,100,34.64,-120.46,53.6,4.7
Norman Wells,75,CA,1600183025,74,65.28,-126.83,33.8,13.87
Bambous Virieux,75,MU,1600183138,72,-20.34,57.76,68.0,11.41
Gondanglegi,78,ID,1600183138,76,-7.75,112.01,74.46,12.75
Bilibino,98,RU,1600183138,81,68.05,166.44,37.94,0.13
Praia,52,CV,1600183139,70,14.92,-23.51,83.08,7.9
Albany,0,US,1600182904,54,42.6,-73.97,55.99,2.37
Qaanaaq,0,GL,1600183139,85,77.48,-69.36,23.9,6.11
Busselton,61,AU,1600183139,68,-33.65,115.33,55.99,15.21
Lahat,78,ID,1600183139,92,-3.8,103.53,73.38,2.68
Vaini,20,TO,1600183140,83,-21.2,-175.2,71.6,8.05
Sitka,1,US,1600183140,81,57.05,-135.33,46.4,2.13
Hobart,100,AU,1600183120,62,-42.88,147.33,51.8,13.87
Atuona,0,PF,1600183140,70,-9.8,-139.03,78.21,15.97
Barrow,90,US,1600183140,91,71.29,-156.79,35.6,19.46
Hermanus,50,ZA,1600183141,57,-34.42,19.23,60.01,4.0
Te Anau,71,NZ,1600183141,83,-45.42,167.72,37.51,7.14
Cayenne,6,GF,1600183141,59,4.93,-52.33,89.6,5.82
Lugoba,68,TZ,1600183141,58,-6.45,38.33,80.92,11.05
Verkhnevilyuysk,19,RU,1600183141,94,63.45,120.32,44.47,2.95
Puerto Ayora,100,EC,1600183142,94,-0.74,-90.35,66.99,7.0
Ponta do Sol,20,PT,1600183142,65,32.67,-17.1,77.0,10.29
Punta Arenas,75,CL,1600182850,74,-53.15,-70.92,41.0,23.04
Dzilam González,35,MX,1600183142,67,21.28,-88.93,86.04,6.29
Vestmannaeyjar,20,IS,1600183114,71,63.44,-20.27,50.0,16.11
Ushuaia,75,AR,1600182996,74,-54.8,-68.3,37.4,28.86
Makkah al Mukarramah,88,SA,1600182931,44,21.43,39.83,95.09,7.72
Rawson,4,AR,1600183143,44,-43.3,-65.1,54.86,22.03
Aldan,100,RU,1600183143,89,58.6,125.39,39.33,3.87
Rikitea,10,PF,1600183143,78,-23.12,-134.97,73.08,6.4
Rome,1,US,1600183085,66,43.21,-75.46,54.0,2.93
Arrifes,20,PT,1600183144,46,37.77,-25.7,69.8,11.41
Yellowknife,40,CA,1600183144,46,62.46,-114.35,30.2,19.46
Mbumi,15,TZ,1600183144,69,-7.91,39.21,79.12,8.59
Mildura,15,AU,1600183144,61,-34.2,142.15,48.2,6.29
Kupino,8,RU,1600183145,46,54.37,77.3,61.12,12.77
Cape Town,40,ZA,1600182851,54,-33.93,18.42,64.99,8.05
Kapaa,75,US,1600183145,74,22.08,-159.32,80.6,9.17
Grindavik,40,IS,1600183145,76,63.84,-22.43,48.2,16.11
Guerrero Negro,0,MX,1600183145,51,27.98,-114.06,78.04,8.25
Khatanga,100,RU,1600183146,74,71.97,102.5,52.36,4.79
Kushva,100,RU,1600183146,96,58.29,59.76,46.65,5.35
Avilés,20,ES,1600182903,83,43.55,-5.92,75.99,4.7
College,75,US,1600183146,70,64.86,-147.8,48.2,5.82
Vostok,53,RU,1600183146,90,46.49,135.88,48.88,1.77
Butaritari,32,KI,1600183146,77,3.07,172.79,83.19,20.27
Bengkulu,100,ID,1600183147,87,-3.8,102.27,77.36,6.02
Manadhoo,75,MV,1600183147,79,5.77,73.38,82.6,11.21
Mossamedes,11,AO,1600183147,69,-15.2,12.15,75.2,11.41
Hithadhoo,16,MV,1600183148,68,-0.6,73.08,82.27,5.06
Samarai,28,PG,1600183148,88,-10.62,150.67,78.39,15.77
Brae,40,GB,1600183148,100,60.4,-1.35,55.4,2.24
Port Lincoln,100,AU,1600183148,73,-34.73,135.87,55.76,9.6
Tonota,40,BW,1600183148,10,-21.48,27.48,91.4,9.17
Beringovskiy,99,RU,1600183149,90,63.05,179.32,46.65,10.16
Saint Paul Harbor,90,US,1600183149,76,57.79,-152.41,53.6,13.87
Rocha,0,UY,1600182987,55,-34.48,-54.33,57.4,9.46
Bondo,83,CD,1600183149,89,3.81,23.69,77.9,1.9
Pandan,100,PH,1600183149,81,14.05,124.17,82.69,11.68
Mataura,96,NZ,1600183150,88,-46.19,168.86,39.99,10.0
Port Elizabeth,75,ZA,1600183150,77,-33.92,25.57,59.0,12.75
Castro,92,BR,1600182996,59,-24.79,-50.01,68.09,10.76
Severo-Kuril'sk,27,RU,1600183150,82,50.68,156.12,50.68,12.44
Los Llanos de Aridane,75,ES,1600183151,78,28.66,-17.92,78.8,12.75
Saint-Philippe,90,RE,1600183151,64,-21.36,55.77,69.8,12.75
Bluff,61,NZ,1600183151,88,-46.6,168.33,39.99,10.0
San Quintín,0,MX,1600183117,53,30.48,-115.95,76.96,8.32
Mount Isa,0,AU,1600183152,27,-20.73,139.5,73.4,5.82
Avarua,83,CK,1600183152,83,-21.21,-159.78,71.6,10.29
Grado,20,ES,1600183152,83,43.39,-6.07,75.99,4.7
Ribeira Grande,40,PT,1600183152,49,38.52,-28.7,69.8,11.41
Álamos,0,MX,1600183153,78,27.02,-108.93,84.99,4.0
Cherskiy,100,RU,1600183153,77,68.75,161.3,41.49,4.59
Thompson,90,CA,1600183153,100,55.74,-97.86,41.0,6.93
Bethel,1,US,1600183117,58,41.37,-73.41,57.0,3.36
Gigmoto,98,PH,1600183154,83,13.78,124.39,82.0,11.3
East London,40,ZA,1600183154,72,-33.02,27.91,60.8,12.75
George Town,20,MY,1600183011,83,5.41,100.34,82.4,2.24
Nikolskoye,19,RU,1600183154,58,59.7,30.79,59.0,8.95
Verkh-Usugli,58,RU,1600183154,89,52.7,115.17,40.84,2.75
Shache,0,CN,1600183155,27,38.42,77.24,69.42,10.13
Jamestown,1,US,1600183155,87,42.1,-79.24,54.0,5.82
Antalaha,87,MG,1600183155,83,-14.9,50.28,70.14,11.65
Kaitangata,72,NZ,1600183155,75,-46.28,169.85,39.99,5.99
